id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
176654,121538,97130,16949,476166,Returned,2023-04-19 06:07:24.000000 UTC,2023-04-16 22:21:00.000000 UTC,2023-04-21 11:04:00.000000 UTC,2023-04-22 02:53:00.000000 UTC,5.0
10889,7456,5972,9380,29171,Returned,2023-01-30 04:58:10.000000 UTC,2023-01-31 14:13:00.000000 UTC,2023-02-04 17:31:00.000000 UTC,2023-02-07 03:11:00.000000 UTC,5.5
80947,55727,44512,13973,218354,Returned,2023-02-27 22:23:25.000000 UTC,2023-02-28 07:10:00.000000 UTC,2023-02-28 13:28:00.000000 UTC,2023-03-01 06:36:00.000000 UTC,6.0
119628,82251,65630,9303,322497,Returned,2023-04-21 15:24:46.256607 UTC,2023-04-24 13:43:13.256607 UTC,2023-04-26 07:45:13.256607 UTC,2023-04-27 14:57:13.256607 UTC,6.0
155741,107174,85593,13840,419752,Returned,2023-04-22 15:32:49.000000 UTC,2023-04-22 21:52:00.000000 UTC,2023-04-27 10:55:00.000000 UTC,2023-04-27 22:48:00.000000 UTC,6.0
62598,43076,34428,15402,168742,Returned,2023-04-20 13:14:48.000000 UTC,2023-04-18 07:33:00.000000 UTC,2023-04-21 04:18:00.000000 UTC,2023-04-22 07:00:00.000000 UTC,7.0
120768,83033,66293,15863,325557,Returned,2023-04-16 00:30:12.000000 UTC,2023-04-13 14:31:00.000000 UTC,2023-04-17 17:27:00.000000 UTC,2023-04-19 18:07:00.000000 UTC,7.0
86302,59392,47428,28690,232843,Returned,2023-03-15 03:18:52.000000 UTC,2023-03-11 14:30:00.000000 UTC,2023-03-13 03:07:00.000000 UTC,2023-03-15 00:11:00.000000 UTC,7.5
16197,11115,8960,25040,43594,Returned,2023-04-13 08:34:01.000000 UTC,2023-04-11 17:55:00.000000 UTC,2023-04-13 03:22:00.000000 UTC,2023-04-14 22:03:00.000000 UTC,8.0
67626,46533,37178,9399,182354,Returned,2023-03-16 06:35:55.000000 UTC,2023-03-17 00:53:00.000000 UTC,2023-03-21 01:42:00.000000 UTC,2023-03-22 11:41:00.000000 UTC,8.0
102886,70716,56437,28934,277529,Returned,2023-03-06 23:11:35.000000 UTC,2023-03-05 05:04:00.000000 UTC,2023-03-06 10:27:00.000000 UTC,2023-03-07 05:03:00.000000 UTC,8.0
139288,95790,76463,13948,375483,Returned,2023-04-22 08:12:36.034330 UTC,2023-04-24 22:49:27.034330 UTC,2023-04-25 17:55:27.034330 UTC,2023-04-27 12:48:27.034330 UTC,8.0
155696,107144,85571,7120,419636,Returned,2023-03-14 07:12:00.000000 UTC,2023-03-15 13:27:00.000000 UTC,2023-03-19 09:31:00.000000 UTC,2023-03-20 15:03:00.000000 UTC,8.0
168881,116216,92888,24792,455171,Returned,2023-03-29 00:57:10.000000 UTC,2023-03-29 04:52:00.000000 UTC,2023-04-02 09:00:00.000000 UTC,2023-04-04 04:20:00.000000 UTC,8.0
128840,88494,70616,9198,347224,Returned,2023-04-25 01:00:32.435357 UTC,2023-04-27 00:40:36.435357 UTC,2023-04-29 23:59:36.435357 UTC,2023-05-01 03:48:36.435357 UTC,8.5
12094,8279,6619,27013,32465,Returned,2023-02-01 04:48:57.000000 UTC,2023-02-02 14:06:00.000000 UTC,2023-02-05 13:54:00.000000 UTC,2023-02-06 07:41:00.000000 UTC,9.0
30219,20759,16643,9456,81299,Returned,2023-04-21 09:58:05.000000 UTC,2023-04-22 18:10:00.000000 UTC,2023-04-24 06:44:00.000000 UTC,2023-04-24 22:55:00.000000 UTC,9.0
78686,54146,43263,18741,212180,Returned,2023-03-11 17:33:07.000000 UTC,2023-03-14 12:56:00.000000 UTC,2023-03-15 19:29:00.000000 UTC,2023-03-17 09:11:00.000000 UTC,9.0
81399,56006,44742,12607,219584,Returned,2023-02-11 03:14:16.000000 UTC,2023-02-13 15:59:00.000000 UTC,2023-02-16 21:08:00.000000 UTC,2023-02-17 00:39:00.000000 UTC,9.0
134900,92749,74049,10711,363630,Returned,2023-04-11 08:04:09.000000 UTC,2023-04-11 21:28:00.000000 UTC,2023-04-16 02:30:00.000000 UTC,2023-04-18 02:37:00.000000 UTC,9.5
21880,15015,12092,24464,58862,Returned,2023-04-23 06:57:54.000000 UTC,2023-04-21 01:39:00.000000 UTC,2023-04-24 11:47:00.000000 UTC,2023-04-25 07:21:00.000000 UTC,10.0
53451,36788,29400,25191,144077,Returned,2023-04-18 00:11:36.000000 UTC,2023-04-18 14:01:00.000000 UTC,2023-04-18 16:24:00.000000 UTC,2023-04-19 07:18:00.000000 UTC,10.0
121715,83692,66825,8903,328106,Returned,2023-04-17 13:25:12.000000 UTC,2023-04-17 08:05:00.000000 UTC,2023-04-20 08:46:00.000000 UTC,2023-04-21 06:48:00.000000 UTC,10.0
180681,124333,99398,9109,487064,Returned,2023-04-25 15:16:33.869356 UTC,2023-04-26 07:45:36.869356 UTC,2023-04-28 01:59:36.869356 UTC,2023-04-28 15:31:36.869356 UTC,10.0
14292,9819,7861,10834,38425,Returned,2023-02-25 13:15:17.000000 UTC,2023-02-28 01:40:00.000000 UTC,2023-02-28 21:58:00.000000 UTC,2023-03-02 11:50:00.000000 UTC,10.5
16131,11071,8917,25315,43417,Returned,2023-01-31 05:03:16.000000 UTC,2023-02-02 14:04:00.000000 UTC,2023-02-07 09:05:00.000000 UTC,2023-02-08 17:54:00.000000 UTC,11.0
167924,115547,92345,18346,452588,Returned,2023-04-21 01:33:02.000000 UTC,2023-04-21 20:49:00.000000 UTC,2023-04-25 14:40:00.000000 UTC,2023-04-26 02:02:00.000000 UTC,11.0
141559,97343,77730,26110,381604,Returned,2023-04-27 00:35:23.022456 UTC,2023-04-26 03:11:03.022456 UTC,2023-04-29 20:51:03.022456 UTC,2023-04-30 04:54:03.022456 UTC,11.5
30949,21248,17012,25582,83294,Returned,2023-04-15 23:00:09.000000 UTC,2023-04-17 15:12:00.000000 UTC,2023-04-20 16:18:00.000000 UTC,2023-04-22 19:21:00.000000 UTC,12.0
43166,29674,23728,25138,116369,Returned,2023-04-21 14:22:14.347581 UTC,2023-04-24 09:21:44.347581 UTC,2023-04-27 07:52:44.347581 UTC,2023-04-29 23:39:44.347581 UTC,12.0
