taxi_id,trip_start_time,trip_end_time,payment_type,trip_miles,fare,tips,trip_total
4c64024caa0fc8132f84378db89e107da9dc5465,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,0.1,11.0,0.0,11.0
9b934e34b3c5c2b3e4f468255f5d3c1163a984d5,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Unknown,0.0,20.75,0.0,20.75
93928e06ae0917b94fb6d7e531b79b70b119b852,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,7.2,19.5,10.0,34.0
ccbebd87160b9da511fb104f71a8ce3bbdb07e1d,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,6.86,22.5,0.0,27.5
ef28bdc517ee8c3124d18d618fbee15ca78d16ab,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,15.64,39.0,8.7,52.2
51ffa6b1253b4c9049ca0d05890f8dc464519001,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:00:00.000000 UTC,Credit Card,0.0,3.25,2.25,13.0
735d1e4b889747f5f077dbac76754e3412e0f107,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:00:00.000000 UTC,Cash,1.6,7.5,0.0,7.5
d40d19f5b4694f6f86d52f13aeccdda3594b09dd,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Mobile,8.69,21.23,4.0,25.23
990f033fc8ae54eb94343ebddf023270055759b8,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,17.77,43.5,7.2,55.2
6220ea44af7f30c8e452cc9650f782c0efb2dc3a,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,13.44,35.25,0.0,36.25
cdc538b3fc27821534612ded5dadae9ad0b1a6f8,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,14.1,36.75,0.0,42.25
