id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
452884,What is the best way to handle a bad link given to BeautifulSoup?,<p>I'm working on something that pulls in urls from delicious and then uses those urls to discover associated feeds. </p> <p>However some of the bookmarks in delicious are not html links and cause BS to barf. Basically I want to throw away a link if BS fetches it and it does not look like html.</p> <p>Right now this is what I'm getting. </p> <pre><code>trillian:Documents jauderho$ ./d2o.py green data center processing http://www.greenm3.com/ processing http://www.eweek.com/c/a/Green-IT/How-to-Create-an-EnergyEfficient-Green-Data-Center/?kc=rss Traceback (most recent call last): File ./d2o.py  line 53 in &lt;module&gt; get_feed_links(d_links) File ./d2o.py  line 43 in get_feed_links soup = BeautifulSoup(html) File /Library/Python/2.5/site-packages/BeautifulSoup.py  line 1499 in __init__ BeautifulStoneSoup.__init__(self *args **kwargs) File /Library/Python/2.5/site-packages/BeautifulSoup.py  line 1230 in __init__ self._feed(isHTML=isHTML) File /Library/Python/2.5/site-packages/BeautifulSoup.py  line 1263 in _feed self.builder.feed(markup) File /System/Library/Frameworks/Python.framework/Versions/2.5/lib/python2.5/HTMLParser.py  line 108 in feed self.goahead(0) File /System/Library/Frameworks/Python.framework/Versions/2.5/lib/python2.5/HTMLParser.py  line 150 in goahead k = self.parse_endtag(i) File /System/Library/Frameworks/Python.framework/Versions/2.5/lib/python2.5/HTMLParser.py  line 314 in parse_endtag self.error( bad end tag: %r % (rawdata[i:j])) File /System/Library/Frameworks/Python.framework/Versions/2.5/lib/python2.5/HTMLParser.py  line 115 in error raise HTMLParseError(message self.getpos()) HTMLParser.HTMLParseError: bad end tag: u'&lt;/b /&gt;' at line 739 column 1 </code></pre> <p><strong>Update:</strong></p> <p>Jehiah's answer does the trick. For reference here's some code to get the content type:</p> <pre><code>def check_for_html(link): out = urllib.urlopen(link) return out.info().getheader('Content-Type') </code></pre>,452896,1,0,,2009-01-17 06:10:41.080000 UTC,1,2009-01-17 07:33:56.853000 UTC,2009-01-17 07:33:56.853000 UTC,Jauder Ho,26366,Jauder Ho,26366,,1,1,python|parsing|beautifulsoup,1178
92290,How to make visualstudio .net work with VB6 and service pack 6,<p>I have VB application that requires visual service pack 6 to run  now when I install visualstudio.net (any version of .net) Its debugger doesn't work properly I am able to create windows/web application in visualstudio.net but not able to debug anything  so I have to keep 2 computers  one for VB and one for .net  does anybody have any idea what is the cause for this and is there any fix for this ?</p>,92301,1,0,,2008-09-18 12:57:48.340000 UTC,1,2008-09-18 13:00:16.167000 UTC,2008-09-18 13:00:16.167000 UTC,Joel Coehoorn,3043,Ripal,14299,,1,1,visual-studio,225
6008898,Help with C printf function,<p>I am trying to duplicate NSLog but without all of the unnecessary dates at the beginning. I have tried the following c function (I made myself) but it wont log any other values that are not NSStrings. Please could you tell me how I could do it so that it would log any value?</p> <pre><code>static void echo(NSString *fmt ...) { printf( &lt;&lt;&lt;&lt;&lt;&lt;&lt;%s&gt;&gt;&gt;&gt;&gt;&gt;&gt;  [fmt UTF8String]); } </code></pre>,6008991,1,0,,2011-05-15 14:11:23.250000 UTC,,2011-05-15 14:50:40.843000 UTC,2011-05-15 14:16:38.713000 UTC,,142162,,556479,,1,0,objective-c|c|printf|nslog,217
36737743,Two ways to exclude modules in Gradle,<p>Which is the difference between excluding a module in <code>configurations.compile</code> block:</p> <pre><code>configurations.compile { exclude module: 'spring-core' } </code></pre> <p>and doing it in <code>dependencies</code> block?</p> <pre><code>compile('org.simpleframework:simple-xml:2.7.+') { exclude module: 'stax' } </code></pre> <p>Thanks.</p>,36745688,1,0,,2016-04-20 08:15:03.563000 UTC,,2016-04-20 13:40:27.983000 UTC,2016-04-20 09:21:23.187000 UTC,,3026283,,3026283,,1,1,gradle,9
3566966,WPF: How do I start styling a DataGrid that was built using MVVM?,<p>I have a list of names that I'd like to have bound to a datagrid for editing/sorting/etc. But I don't like how the DataGrid is displayed at all. Columns are placed in Alphabetical order when I really want a custom order (and I wish I could hide the ID column or make that column not editable). I'm not sure how to start doing any of this...</p> <p>NOTE: I removed a lot of common code (ex: INotifyPropertyChanged code...)</p> <pre><code>//PersonModel.cs public class PersonModel { public Int32 ID { get; set; } public String FirstName { get; set; } public String LastName { get; set; } } //PersonViewModel.cs public class PersonViewModel { public PersonViewModel() { Init(); } public PersonViewModel(ObservableCollection&lt;PersonModel&gt; persons) { Init(person); } private void Init(ObservableCollection&lt;PersonModel&gt; persons = null) { Persons = person ?? new ObservableCollection&lt;PersonModel&gt;(); } public ObservableCollection&lt;PersonModel&gt; Persons { get; set; } } //PersonView.xaml &lt;UserControl ... ... &lt;DataGrid ItemsSource= {Binding Persons} /&gt; ... &lt;/UserControl&gt; </code></pre>,3567244,1,0,,2010-08-25 14:34:26.310000 UTC,,2011-09-28 00:14:25.267000 UTC,2011-08-13 17:58:17.837000 UTC,,305637,,347172,,1,1,wpf|mvvm|datagrid|styles|observablecollection,100
20683007,How to determine actual font size using Selenium WebDriver with Java,<p>If my font-size is set to be X-Large and I want to test how many pixels that is on a particular browser using Selenium WebDriver. How would I do that? </p> <p>The idea is to check if the font size falls within a particular range of allowed font-sizes for our window size. </p>,20689716,1,0,,2013-12-19 13:27:11.620000 UTC,,2016-02-19 19:40:02.817000 UTC,2015-06-22 08:17:17.300000 UTC,,617450,,254694,,1,3,java|selenium-webdriver,2502
31683611,Inputting Single Value into SQLiteDatabase,<p>I was just wondering if it's possible to just input/update a single value into an SQLiteDatabase (as opposed to an entire row). </p> <p>The SQLiteDatabase API on the <a href= http://developer.android.com/reference/android/database/sqlite/SQLiteDatabase.html rel= nofollow >Android developer site</a> makes it sound like you can only insert one row at a time (which erases previous information). </p> <p>An alternative I've been thinking of is to copy the contents of the entire row into an array alter a value in the array and then insert the values of the array as an update row in the SQL Database. Does anyone have a more efficient and less roundabout solution?</p>,31683694,1,0,,2015-07-28 17:48:09.267000 UTC,,2015-07-28 17:52:44.090000 UTC,,,,,4506516,,1,0,android|sqlite,32
972974,What browsers is Google Web Toolkit tested against?,<p>I'm very interested in GWT and I'm curious which browsers it's tested against? The info is not painfully easy enough for me to find and I haven't gotten an answer on the group (I haven't waited long but messages get buried there fast).</p> <p>This is really important to me... I would assume google's standards are high (probably higher than mine) but I'd like to know more. </p> <p>See also <a href= http://developer.yahoo.com/yui/articles/gbs/ rel= nofollow >YUI Graded Browser support</a></p>,972978,1,0,,2009-06-09 23:15:02.113000 UTC,,2009-06-11 06:55:43.080000 UTC,,,,,100304,,1,0,gwt|cross-browser,222
37345612,SonarQube - configuration of sonar-project.properties of a Java EE 6 project to get rid of WARN - Class not found,<p>I'm trying to analyse a huge Java EE 6 project. Due to the given ruleset with some older rules we're bound to Sonarqube 4.5.6 with some special plug-ins at the moment (analysis runs with Sonar Scanner 2.5.1).</p> <p>The analysis of the project finishes without failing but there are many warnings in the log about classes which weren't found like</p> <pre><code>WARN - Class not found: javax.servlet.http.HttpServletRequest </code></pre> <p>Similar warnings from other plugins are also reported. So I looked around and found a workaround by adding the path to the Java EE 6 .jars to the <code>sonar.java.libraries</code> config in the <code>sonar-project.properties</code> file. Now I got rid of the warings (except few classes in <code>org.apache.commons.io</code> and <code>org.apache.commons.fileupload</code> - whereever the corresponding .jar may be).</p> <p>This will work on my local machine but the <em>real</em> sonar server is somewhere else where no Java EE 6 is present. So I'd thought of copying the relevant .jars in some directory there and reference the directory in the <code>sonar.java.libraries</code>.</p> <p>My problem: how to find out which .jars are actually used by the sonar analysis? I don't want to copy thousands of files when actually just maybe ten are needed.</p> <p>Is there some hidden log file written by sonarqube or something similar? Any other idea?</p>,37353130,1,0,,2016-05-20 11:32:09.767000 UTC,,2016-05-20 18:03:59.637000 UTC,,,,,5127164,,1,1,java-ee|sonarqube|java-ee-6|sonarqube-4.5,33
29539126,Safari: HTML video controls overwrite window.name,<p>In Safari 8.0.5 the <code>controls</code> attribute for the <code>video</code> element will change <code>window.name</code> to webkitendfullscreen . This is critical since I want to use <code>window.name</code> for storing client side data in Safari's private mode (which <code>localStorage.setItem</code> won't work in).</p> <p><a href= http://jsfiddle.net/ky32zxhe/2/ rel= nofollow >Here's a fiddle</a>.</p> <p>Can anybody clarify why this happens? And maybe how to get around it?</p>,30780136,1,0,,2015-04-09 12:56:08.270000 UTC,,2015-06-11 11:57:38.273000 UTC,,,,,1531580,,1,1,javascript|html|safari,69
